,V1,V2,mean,variance
383,2.2349,1.3,0.146931,0.000004
384,2.2349,1.4,0.158252,0.000005
385,2.2349,1.5,0.169971,0.000006
386,2.2349,1.6,0.182065,0.000007
387,2.2349,1.7,0.194504,0.000008
388,2.2349,1.8,0.207261,0.000010
389,2.2349,1.9,0.220304,0.000011
390,2.2349,2,0.233601,0.000013
391,2.2349,2.1,0.247120,0.000014
392,2.2349,2.2,0.260828,0.000016
393,2.2349,2.3,0.274691,0.000018
394,2.2349,2.4,0.288679,0.000020
395,2.2349,2.5,0.302759,0.000022
396,2.2349,2.6,0.316901,0.000024
397,2.2349,2.7,0.331077,0.000026
398,2.2349,2.8,0.345260,0.000028
399,2.2349,2.9,0.359423,0.000030
400,2.2349,3,0.373545,0.000032
401,2.2349,3.1,0.387602,0.000034
402,2.2349,3.2,0.401576,0.000036
403,2.2349,3.3,0.415449,0.000038
404,2.2349,3.4,0.429203,0.000040
405,2.2349,3.5,0.442825,0.000042
406,2.2349,3.6,0.456301,0.000044
407,2.2349,3.7,0.469618,0.000045
408,2.2349,3.8,0.482765,0.000047
409,2.2349,3.9,0.495731,0.000048
410,2.2349,4,0.508505,0.000049
411,2.3684,0,0.041807,0.000000
412,2.3684,0.1,0.047036,0.000000
413,2.3684,0.2,0.052707,0.000000
414,2.3684,0.3,0.058834,0.000000
415,2.3684,0.4,0.065427,0.000000
416,2.3684,0.5,0.072497,0.000001
417,2.3684,0.6,0.080049,0.000001
418,2.3684,0.7,0.088087,0.000001
419,2.3684,0.8,0.096612,0.000001
420,2.3684,0.9,0.105620,0.000002
421,2.3684,1,0.115106,0.000002
422,2.3684,1.1,0.125060,0.000003
423,2.3684,1.2,0.135469,0.000004
424,2.3684,1.3,0.146317,0.000005
425,2.3684,1.4,0.157586,0.000006
426,2.3684,1.5,0.169252,0.000007
427,2.3684,1.6,0.181292,0.000008
428,2.3684,1.7,0.193678,0.000009
429,2.3684,1.8,0.206382,0.000011
430,2.3684,1.9,0.219372,0.000013
431,2.3684,2,0.232617,0.000014
432,2.3684,2.1,0.246085,0.000016
433,2.3684,2.2,0.259743,0.000018
434,2.3684,2.3,0.273559,0.000020
435,2.3684,2.4,0.287501,0.000023
436,2.3684,2.5,0.301536,0.000025
437,2.3684,2.6,0.315637,0.000027
438,2.3684,2.7,0.329773,0.000029
439,2.3684,2.8,0.343918,0.000032
440,2.3684,2.9,0.358047,0.000034
441,2.3684,3,0.372136,0.000037
442,2.3684,3.1,0.386164,0.000039
443,2.3684,3.2,0.400110,0.000041
444,2.3684,3.3,0.413958,0.000043
445,2.3684,3.4,0.427690,0.000045
446,2.3684,3.5,0.441292,0.000048
447,2.3684,3.6,0.454749,0.000049
448,2.3684,3.7,0.468051,0.000051
449,2.3684,3.8,0.481184,0.000053
450,2.3684,3.9,0.494139,0.000055
451,2.3684,4,0.506904,0.000056
